AEther Searcher	乙太探寻客
Agrus Kos, Wojek Veteran	沃耶克老将阿固寇斯
Ahn-Crop Champion	阿恩祀群斗士
Ahn-Crop Crasher	阿恩祀群粉碎者
Aid from the Cowl	外沿区相助
Aim High	对空瞄准
Ainok Artillerist	犬人弩炮手
Ainok Bond-Kin	义缘犬人
Ainok Guide	犬人向导
Ainok Survivalist	犬人求生家
Ainok Tracker	侦猎犬人
Air Bladder	气囊
Air Elemental	大气元素
Air Servant	大气仆役
Airborne Aid	空降援助
Airdrop Aeronauts	运补空行师
Airdrop Condor	空投秃鹰
Aisling Leprechaun	艾斯林小仙灵
Ajani Goldmane	金鬃阿耶尼
Ajani Steadfast	坚定的阿耶尼
Ajani Unyielding	刚毅阿耶尼
Ajani Vengeant	复仇阿耶尼
Ajani's Aid	阿耶尼的援助
Ajani's Chosen	阿耶尼的精卫
Ajani's Comrade	阿耶尼的战友
Ajani's Mantra	阿耶尼的祈祷文
Ajani's Presence	阿耶尼的风采
Ajani's Pridemate	阿耶尼的群伴
Ajani's Sunstriker	阿耶尼晖击僧
Ajani, Caller of the Pride	狮群唤师阿耶尼
Ajani, Mentor of Heroes	英雄明师阿耶尼
Ajani, Valiant Protector	英勇卫士阿耶尼
Akiri,Line—Slinger	掷索人娅奇丽
Akki Avalanchers	雪崩恶鬼
Akki Blizzard-Herder	恶鬼暴雪师
Akki Coalflinger	掷煤恶鬼
Akki Drillmaster	恶鬼持钻师
Akki Lavarunner	岩浆奔越鬼
Akki Raider	恶鬼突击队
Akki Rockspeaker	岩语恶鬼
Akki Underling	恶鬼手下
Akki Underminer	破坏恶鬼
Akoum Battlesinger	阿库姆战颂人
Akoum Boulderfoot	阿库姆沉足巨人
Akoum Firebird	阿库姆火鸟
Akoum Flameseeker	阿库姆觅焰师
Akoum Hellkite	阿库姆残虐者
Akoum Refuge	阿库姆避难所
Akoum Stonewaker	阿库姆醒岩师
Akrasan Squire	阿卡沙扈从
Akroan Conscriptor	阿喀洛斯征兵员
Akroan Crusader	阿喀洛斯圣战军
Akroan Hoplite	阿喀洛斯重装步兵
Akroan Horse	阿喀洛斯木马
Akroan Jailer	阿喀洛斯狱卒
Akroan Line Breaker	阿喀洛斯破阵兵
Akroan Mastiff	阿喀洛斯獒犬
Akroan Phalanx	阿喀洛斯方阵兵团
Akroan Sergeant	阿喀洛斯士官
Akroan Skyguard	阿喀洛斯空护卫
Akroma's Blessing	爱若玛的祝福
Akroma's Devoted	爱若玛誓诚军
Akroma's Memorial	爱若玛纪念碑
Akroma's Vengeance	爱若玛的复仇
Akroma, Angel of Fury	怒火天使爱若玛
Akroma, Angel of Wrath	忿怒天使爱若玛
Akron Legionnaire	阿克隆的退役军人
Aku Djinn	尔库巨灵
Akuta, Born of Ash	芥苏阿苦多
Al-abara's Carpet	阿尔芭菈的飞毯
Alabaster Dragon	光洁圣龙
Alabaster Kirin	圣洁麒麟
Alabaster Leech	雪花石蛭
Alabaster Mage	洁白法师
Alabaster Potion	雪花石膏药剂
Alabaster Wall	圣洁之墙
Alaborn Cavalier	阿拉崩骑兵
Alaborn Grenadier	阿拉崩掷弹兵
Alaborn Musketeer	阿拉崩毛瑟枪兵
Alaborn Trooper	阿拉崩武装兵
Alaborn Veteran	阿拉崩老兵
Alaborn Zealot	阿拉崩狂信者
Aladdin	阿拉丁
Aladdin's Lamp	阿拉丁神灯
Aladdin's Ring	阿拉丁戒指
Alarum	警报
Albino Troll	白子巨魔
Alchemist's Apprentice	炼金术士学徒
Alchemist's Greeting	炼金术士的招呼
Alchemist's Refuge	炼金术士避难所
Alchemist's Vial	炼金术士药瓶
Alchor's Tomb	艾格之墓
Aleatory	侥幸
Alert Shu Infantry	蜀国戎边部队
Alesha's Vanguard	阿列莎的先锋
Alesha, Who Smiles at Death	蔑死者阿列莎
Alexi's Cloak	阿蕾克丝之袍
Alexi, Zephyr Mage	西风法师阿蕾克丝
Algae Gharial	野藻长吻鳄
Alhammarret's Archive	阿哈玛瑞特的档案库
Alhammarret, High Arbiter	高等仲裁者阿哈玛瑞特
Ali Baba	阿里巴巴
Ali from Cairo	开罗的阿里
Aliban's Tower	阿里班的塔
Aligned Hedron Network	晶石网阵
Alive (Alive/Well)	活跃 (活跃/安好)
All Hallow's Eve	万圣夜
All Is Dust	尽归尘土
All Suns' Dawn	五色晨曦
Allay	和缓
Alley Evasion	暗巷匿踪
Alley Grifters	暗巷骗徒
Alley Strangler	暗巷绞杀客
Alliance of Arms	军团联盟
Allied Reinforcements	盟军增援
Allied Strategies	结盟策略
Allosaurus Rider	异特龙骑兵
Alloy Golem	合金魔像
Alloy Myr	合金秘耳
Alluring Scent	诱惑气息
Alluring Siren	诱人塞连
Ally Encampment	伙伴营地
Alms	救济
Alms Beast	救济兽
Alms of the Vein	血脉救济
Alpha Authority	首领威信
Alpha Brawl	首领争斗
Alpha Kavu	原型卡甫
Alpha Myr	前锋秘耳
Alpha Status	领袖地位
Alpha Tyrranax	原初霸蛛龙
Alpine Grizzly	高山灰熊
Altac Bloodseeker	奥塔克觅血人
Altar Golem	祭坛魔像
Altar of Bone	白骨祭坛
Altar of Dementia	痴呆祭坛
Altar of Shadows	阴影祭坛
Altar of the Brood	族群祭坛
Altar of the Lost	逝者祭坛
Altar's Light	祭坛明光
Altar's Reap	祭坛夺命
Altar’s Reap	祭坛夺命
Alter Reality	改动现实
Altered Ego	另我离影
Aluren	诱魔法阵
Always Watching	时刻戒护
Amass the Components	积聚配方
Ambassador Laquatus	大使拉夸塔
Ambassador Oak	橡树大使
Amber Prison	琥珀牢笼
Ambition's Cost	野心的代价
Ambitious Aetherborn	雄心乙太种
Ambuscade	突然袭击
Ambuscade Shaman	伏谋祭师
Ambush	伏击
Ambush Commander	伏击指挥官
Ambush Krotiq	伏击库提虫
Ambush Party	伏击部队
Ambush Viper	伏击毒蛇
Ammit Eternal	永生阿米特
Amnesia	失忆术
Amoeboid Changeling	阿米巴化形
Amok	疯狂砍杀
Amphibious Kavu	两栖卡甫
Amphin Cutthroat	埃分割喉客
Amphin Pathmage	埃分径法师
Ampryn Tactician	安普林策士
Amrou Kithkin	安罗·洁瑛
Amrou Scout	安罗斥候
Amrou Seekers	安罗追寻者
Amugaba	阿穆卡巴
Amulet of Kroog	萼城护身符
Amulet of Quoz	库兹护身符
Amulet of Unmaking	拆解的护符
Amulet of Vigor	活力护身符
An-Havva Constable	安哈瓦保安官
An-Havva Inn	安哈瓦旅店
An-Havva Township	安哈瓦镇区
An-Zerrin Ruins	安瑟林的遗迹
Ana Battlemage	阿纳战法术师
Ana Disciple	阿纳信徒
Ana Sanctuary	阿纳圣域
Anaba Ancestor	阿那巴祖灵
Anaba Bodyguard	阿那巴保镖
Anaba Shaman	阿那巴祭师
Anaba Spirit Crafter	阿那巴灵艺师
Anaconda	大水蛇
Anafenza, the Foremost	首领阿娜芬札
Anafenza,Kin-Tree Spirit	族树之灵阿娜芬札
Anarchist	无政府主义者
Anarchy	混乱
Anathemancer	恶咒法师
Anavolver	阿纳进化体
Anax and Cymede	阿那克斯与赛美狄
Ancestor's Chosen	祖灵的爱民
Ancestor's Prophet	圣祖灵先知
Ancestral Knowledge	先人的智慧
Ancestral Mask	先人的面具
Ancestral Memories	先人的回忆
Ancestral Recall	先人的召还
Ancestral Statue	先祖雕像
Ancestral Tribute	祖灵的贡品
Ancestral Vengeance	先祖复仇
Ancestral Vision	先人的预视
Anchor to the Aether	钉入乙太
Ancient Amphitheater	远古阶梯剧场
Ancient Brontodon	远古霆伟龙
Ancient Carp	远古锦鲤
Ancient Crab	远古蟹
Ancient Craving	远古渴望
Ancient Den	远古狮穴
Ancient Excavation	远古挖掘
Ancient Grudge	长年怀恨
Ancient Hellkite	远古残虐者
Ancient Hydra	远古多头龙
Ancient Kavu	古代卡甫
Ancient Ooze	远古流浆
Ancient Runes	远古符文
Ancient Silverback	老银背
Ancient Spider	古蜘蛛
Ancient Spring	古泉
Ancient Stirrings	唤醒古物
Ancient Tomb	古墓
Ancient Ziggurat	远古金塔庙
Ancient of the Equinox	秋分先人
Andradite Leech	黑榴石蛭
Angel	天使
Angel of Condemnation	判罪天使
Angel of Deliverance	解脱天使
Angel of Despair	绝望天使
Angel of Finality	命定天使
Angel of Flight Alabaster	洁羽天使
Angel of Fury	怒火天使
Angel of Glory's Rise	耀扬天使
Angel of Invention	新创天使
Angel of Jubilation	欢庆天使
Angel of Light	明光天使
Angel of Mercy	慈悲天使
Angel of Renewal	新机天使
Angel of Retribution	赏罚天使
Angel of Salvation	救助天使
Angel of Sanctions	惩戒天使
Angel of Serenity	清朗天使
Angel of the Dire Hour	厄时天使
Angel of the God-Pharaoh	法老神天使
Angel's Feather	天使翎羽
Angel's Grace	天使恩典
Angel's Herald	天使传令
Angel's Mercy	天使的慈悲
Angel's Tomb	天使之墓
Angel's Trumpet	天使号角
Angelfire Crusader	天使焰圣战军
Angelheart Vial	天使心瓶
Angelic Accord	天恩相随
Angelic Arbiter	仲裁天使
Angelic Armaments	天使战具
Angelic Benediction	天使祈福
Angelic Blessing	天使的祝福
Angelic Captain	天使队长
Angelic Chorus	天使的合唱
Angelic Curator	天国监护使
Angelic Destiny	天使命运
Angelic Edict	天使勒令
Angelic Favor	天恩眷顾
Angelic Field Marshal	天使元帅
Angelic Gift	天使赋礼
Angelic Overseer	监管天使
Angelic Page	天使信差
Angelic Protector	天国守护使
Angelic Purge	天使涤净
Angelic Renewal	天佑复生
Angelic Shield	天使盾
Angelic Skirmisher	天使侦卫
Angelic Voices	天使之声
Angelic Wall	天使圣墙
Angelsong	天使祷曲
Anger	愤怒
Anger of the Gods	众神之怒
Angler Drake	渔猎龙兽
Angrath's Marauders	安戈斯的劫掠者
Angry Mob	忿怒的暴民
Anguished Unmaking	哀恸归虚
Angus Mackenzie	安格斯·梅肯资
Animal Boneyard	动物坟场
Animal Magnetism	动物磁性
Animar, Soul of Elements	元素之魂阿尼玛
Animate Artifact	赋与神器生命
Animate Dead	尸变
Animate Land	赋予地生命
Animate Wall	赋与墙生命
Animation Module	活化模块
Animist's Awakening	物灵师唤醒
Animus of Predation	掠食原心
Ankh of Mishra	米斯拉的神符
Ankle Shanker	断踝鬼怪
Annex	吞并领土
Annihilate	歼灭
Annihilating Fire	歼灭之火
Annul	抹除
Anodet Lurker	安瑙达伏击兽
Anoint	涂油
Anointed Deacon	祝圣助祭
Anointed Procession	圣洗者行列
Anointer Priest	圣洗僧侣
Anointer of Champions	斗士赐圣僧
Anowon, the Ruin Sage	遗迹智者亚诺文
Ant Queen	蚁后
Antagonism	死敌
Anthem of Rakdos	拉铎司赞美诗
Anthousa, Setessan Hero	瑟特萨英雄安陶莎
Anthroplasm	人浆
Anti-Magic Aura	反魔法灵气
Anticipate	预先考虑
Antler Skulkin	鹿角颅身
Anurid Barkripper	裂皮驽蛙
Anurid Brushhopper	跃丛驽蛙
Anurid Murkdiver	暗潜驽蛙
Anurid Scavenger	拾荒蛙
Anurid Swarmsnapper	舌击驽蛙
Anvil of Bogardan	博卡登之铁砧
Anvilwrought Raptor	锻砧猛禽
Anya, Merciless Angel	无情天使安雅
Apathy	无动于衷
Apes of Rath	瑞斯猿猴
Apex Hawks	峰顶翔鹰
Aphetto Alchemist	艾非托练金术士
Aphetto Dredging	艾非托式采挖
Aphetto Exterminator	艾非托扑灭者
Aphetto Grifter	艾非托骗术师
Aphetto Runecaster	艾非托符文使士
Aphetto Vulture	艾非托兀鹰
Aphotic Wisps	昏暗鬼火
Apocalypse	启示录
Apocalypse Chime	末日鸣钟
Apocalypse Demon	末日恶魔
Apocalypse Hydra	末日多头龙
Apostle's Blessing	门徒加持
Apothecary Geist	药剂师游魂
Apothecary Initiate	药剂学徒
Appeal (Appeal/Authority)	吸引 (吸引/权威)
Appetite for Brains	食脑胃口
Appetite for the Unnatural	违天胃口
Apprentice Necromancer	死灵术士学徒
Apprentice Sorcerer	术士学徒
Apprentice Wizard	魔术师学徒
Approach of the Second Sun	神日迫临
Aquamoeba	水生阿米巴
Aquamorph Entity	澹变灵
Aquastrand Spider	水绿缕蜘蛛
Aqueous Form	似水流形
Aquitect's Will	建渠者的意志
Aquus Steed	水驹
Araba Mothrider	荒场蛾骑士
Arachnogenesis	蜘蛛创生
Arachnoid	织网蛛
Arachnus Spinner	缠网蜘蛛
Arachnus Web	蛛缠网
Aradara Express	厄勒德拉特快
Arashi, the Sky Asunder	烈风哑螺示
Arashin Cleric	阿拉辛僧侣
Arashin Foremost	阿拉辛首领
Arashin Sovereign	阿拉辛王龙
Arashin War Beast	阿拉辛战争兽
Arbalest Elite	弹簧弩精兵
Arbiter of Knollridge	丘脊仲裁者
Arbiter of the Ideal	理念仲裁者
Arbor Colossus	乔木巨像
Arbor Elf	乔木妖精
Arborback Stomper	树背跺地兽
Arboria	黑藤术
Arc Blade	弧锋光
Arc Lightning	弧状闪电
Arc Mage	弧光法师
Arc Runner	奔腾电弧灵
Arc Trail	弧光曳迹
Arc-Slogger	电弧匍行兽
Arcades Sabboth	亚计沙柏斯
Arcane Adaptation	玄秘适境
Arcane Denial	玄秘否定
Arcane Laboratory	奥秘实验室
Arcane Lighthouse	玄秘灯塔
Arcane Melee	神秘搏战
Arcane Sanctum	玄秘圣所
Arcane Savant	玄秘学者
Arcane Spyglass	窥奥望远镜
Arcane Teachings	玄秘教诲
Arcanis the Omnipotent	全能的阿卡尼思
Arcanum Wings	奥妙羽翼
Arcbond	电弧连心
Arcbound Bruiser	能缰巨汉
Arcbound Crusher	能缰辗破机
Arcbound Fiend	能缰恶魔
Arcbound Hybrid	能缰杂拼兽
Arcbound Lancer	能缰长角兽
Arcbound Overseer	能缰督军
Arcbound Ravager	能缰吞噬兽
Arcbound Reclaimer	能缰回收机
Arcbound Slith	能缰斯立兹
Arcbound Stinger	能缰飞刺兽
Arcbound Wanderer	能缰漫游者
Arcbound Worker	能缰工人
Archaeological Dig	考古发掘场
Archaeomancer	古语术士
Archangel	大天使
Archangel Avacyn	大天使艾维欣
Archangel of Strife	纷争大天使
Archangel of Thune	图恩大天使
Archangel of Tithes	什一税大天使
Archangel's Light	大天使恩光
Archdemon of Greed	贪婪大恶魔
Archdemon of Paliano	帕兰诺大恶魔
Archdemon of Unx	温各大恶魔
Archers of Qarsi	卡尔西弓箭手
Archers' Parapet	箭手胸墙
Archery Training	箭术训练
Archetype of Aggression	侵略典范
Archetype of Courage	勇气典范
Archetype of Endurance	坚存典范
Archetype of Finality	绝命典范
Archetype of Imagination	想象典范
Archfiend of Depravity	堕落翼邪鬼
Archfiend of Ifnir	依法尼大恶魔
Architect of the Untamed	野地筑师
Architects of Will	构念会
Archive Trap	档案陷阱
Archivist	书库辖员
Archmage Ascension	法侯腾扬
Archon of Justice	正义统领
Archon of Redemption	救赎统领
Archon of the Triumvirate	三盟统领
Archweaver	拱门蜘蛛
Archwing Dragon	拱翼巨龙
Arctic Aven	极地艾文
Arctic Flats	极地平野
Arctic Foxes	极地狐
Arctic Merfolk	极地人鱼
Arctic Nishoba	极地尼索巴
Arctic Wolves	北极狼
Arcum Dagsson	阿肯达格森
Arcum's Sleigh	阿肯的雪橇
Arcum's Weathervane	阿肯风向标
Arcum's Whistle	阿肯之哨
Ardent Militia	热心的义勇军
Ardent Plea	热诚祈祷
Ardent Recruit	热诚新兵
Ardent Soldier	热诚的士兵
Arena	斗技场
Arena Athlete	竞技选手
Arena of the Ancients	远古斗技场
Arenson's Aura	阿雷森的瑞气
Argent Mutation	银亮异变
Argent Sphinx	银亮史芬斯
Argentum Armor	古银铠甲
Argivian Archaeologist	阿基夫的考古学家
Argivian Blacksmith	阿基夫的铁匠
Argivian Find	阿基夫的出土古物
Argivian Restoration	阿基夫的修复术
Argothian Elder	亚格斯长者
Argothian Enchantress	亚格斯咒术师
Argothian Pixies	亚格斯小妖精
Argothian Swine	亚格斯野猪
Argothian Treefolk	亚格斯树妖
Argothian Wurm	亚格斯亚龙
Arguel's Blood Fast	阿古尔血禁仪式
Arid Mesa	不毛高地
Arjun, the Shifting Flame	变幻火焰亚俊
Ark of Blight	枯萎秘柜
Arlinn Kord	雅琳珂德
Arlinn, Embraced by the Moon	月持雅琳
Arm with Aether	乙太武装
Armada Wurm	巨舰亚龙
Armadillo Cloak	穿山甲外衣
Armageddon	毁天灭地
Armageddon Clock	末日钟
Armament Corps	军备部队
Armament Master	军备专家
Armament of Nyx	尼兹战具
Armed (Armed/Dangerous)	武装 (武装/危险)
Armed Response	武装回应
Armillary Sphere	浑天仪
Armistice	休战协议
Armor Sliver	装甲裂片妖
Armor Thrull	索尔兽之甲
Armor of Faith	信念之铠
Armor of Thorns	荆棘之铠
Armorcraft Judge	制甲艺评审
Armored Ascension	武装飞腾
Armored Cancrix	装甲蟹兽
Armored Galleon	装甲大帆船
Armored Griffin	装甲狮鹫
Armored Guardian	装甲守护者
Armored Pegasus	装甲飞马
Armored Skaab	装甲尸嵌
Armored Transport	装甲运具
Armored Warhorse	装甲战马
Armored Wolf-Rider	装甲狼骑兵
Armorer Guildmage	锻甲公会法师
Armory Automaton	军械库机械兽
Armory Guard	军械库守卫
Armory of Iroas	伊洛安斯的兵械
Arms Dealer	军火商
Army Ants	兵蚁
Army of Allah	阿拉的大军
Army of the Damned	厄亡者大军
Arnjlot's Ascent	安耶罗的飞翔
Arrest	逮捕
Arrogant Bloodlord	傲慢血领
Arrogant Vampire	高傲的吸血鬼
Arrogant Wurm	傲慢亚龙
Arrow Storm	箭矢风暴
Arrow Volley Trap	箭丛陷阱
Arrows of Justice	正义之箭
Arsenal Thresher	军火挥扫兽
Artful Dodge	精巧闪躲
Artful Maneuver	精巧计略
Artifact Blast	神器冲击波
Artifact Mutation	神器异变
Artifact Possession	控御神器
Artifact Ward	神器守护
Artificer's Epiphany	神器师的顿悟
Artificer's Hex	神器师邪术
Artificer's Intuition	神器师的直觉
Artificial Evolution	人工演化
Artillerize	化为炮弹
Artisan of Forms	幽形工匠
Artisan of Kozilek	寇基雷工匠
Artisan's Sorrow	工匠之哀
As Foretold	预示成真
Ascendant Evincar	天威大魔将
Ascended Lawmage	翔空律法师
Ascending Aven	扬升艾文
Asceticism	苦行生活
Ash Barrens	灰烬瘠地
Ash Zealot	灰灭狂信者
Asha's Favor	亚莎的恩惠
Ashcloud Phoenix	烬云凤凰
Ashcoat Bear	白毛熊
Ashen Firebeast	灰灭火焰兽
Ashen Ghoul	灰生食尸鬼
Ashen Monstrosity	灰灭巨兽
Ashen Powder	尸偶粉灰
Ashen Rider	灰灭骑兵
Ashen-Skin Zubera	惨白无面鬼
Ashenmoor Cohort	灰原助拳人
Ashenmoor Gouger	灰原凿手
Ashenmoor Liege	灰原王侯
Ashes of the Abhorrent	异徒化尘
Ashes of the Fallen	逝者秘尘
Ashes to Ashes	土归土
Ashiok's Adept	安梭苛的专家
Ashiok, Nightmare Weaver	织魇师安梭苛
Ashling the Pilgrim	朝圣客灰儿
Ashling's Prerogative	灰儿的特权
Ashling, the Extinguisher	熄焰者灰儿
Ashmouth Blade	烬口宝刃
Ashmouth Hound	烬口猎犬
Ashnod's Altar	阿士诺的祭坛
Ashnod's Battle Gear	阿士诺的战甲
Ashnod's Cylix	阿士诺的钵
Ashnod's Transmogrant	阿士诺生化增幅机
Asmira, Holy Avenger	神圣复仇者阿兹蜜拉
Aspect of Gorgon	蛇发妖外貌
Aspect of Hydra	多头龙外貌
Aspect of Mongoose	猫鼬外貌
Aspect of Wolf	狼之星位
Asphodel Wanderer	安福陵漂浪客
Asphyxiate	闷死
Aspiring Aeronaut	雄心空行师
Assassin's Blade	刺客之刃
Assassin's Strike	杀手出击
Assassinate	行刺
Assault (Assault/Battery)	突袭 (冲击/突袭)
Assault Formation	突袭阵型
Assault Griffin	突袭狮鹫
Assault Strobe	突袭闪光
Assault Suit	突击装
Assault Zeppelid	突袭云飞兽
Assemble the Legion	召集战团
Assemble the Rank and Vile	集尸成军
Assembled Alphas	首领集群
Assembly Hall	集会厅
Assembly-Worker	组装工人
Assert Authority	维护威信
Astral Cornucopia	星幽羊角
Astral Slide	星幽滑移
Astral Steel	星幽钢刃
Astrolabe	星盘
Asylum Visitor	避难所来客
Atalya, Samite Master	撒姆尼大师娥托雅
Atarka Beastbreaker	安塔卡族伏兽师
Atarka Efreet	安塔卡族魔神
Atarka Monument	安塔卡纪念碑
Atarka Pummeler	安塔卡族猛击手
Atarka's Command	安塔卡的指命
Atarka, World Render	灭世龙王安塔卡
Athreos, God of Passage	渡亡神雅睿欧斯
Atog	阿托格
Atogatog	阿托格阿托格
